offset,bytes,ns_per_byte,cycles_per_byte,instructions_per_byte,GHz,GBps
0,16384,0.0105,0.0332,0.1574,3.16,95.15
1,16384,0.0137,0.0433,0.1574,3.17,73.09
2,16384,0.0136,0.0431,0.1574,3.16,73.47
3,16384,0.0137,0.0431,0.1574,3.15,73.23
4,16384,0.0136,0.0431,0.1574,3.17,73.50
5,16384,0.0136,0.0431,0.1574,3.16,73.42
6,16384,0.0136,0.0431,0.1574,3.16,73.49
7,16384,0.0136,0.0429,0.1574,3.16,73.71
8,16384,0.0136,0.0429,0.1574,3.15,73.42
9,16384,0.0135,0.0429,0.1574,3.18,73.99
10,16384,0.0136,0.0429,0.1574,3.16,73.74
11,16384,0.0136,0.0429,0.1574,3.16,73.70
12,16384,0.0135,0.0429,0.1574,3.17,73.93
13,16384,0.0136,0.0429,0.1574,3.15,73.45
14,16384,0.0135,0.0429,0.1574,3.18,74.01
15,16384,0.0136,0.0429,0.1574,3.16,73.68
16,16384,0.0136,0.0430,0.1574,3.16,73.45
17,16384,0.0136,0.0429,0.1574,3.16,73.75
18,16384,0.0136,0.0429,0.1574,3.16,73.73
19,16384,0.0136,0.0429,0.1574,3.16,73.76
20,16384,0.0136,0.0429,0.1574,3.16,73.68
21,16384,0.0136,0.0429,0.1574,3.16,73.74
22,16384,0.0136,0.0429,0.1574,3.16,73.69
23,16384,0.0135,0.0429,0.1574,3.17,73.95
24,16384,0.0136,0.0429,0.1574,3.16,73.62
25,16384,0.0136,0.0429,0.1574,3.16,73.74
26,16384,0.0136,0.0429,0.1574,3.16,73.78
27,16384,0.0136,0.0429,0.1574,3.15,73.49
28,16384,0.0136,0.0429,0.1574,3.16,73.71
29,16384,0.0136,0.0429,0.1574,3.16,73.71
30,16384,0.0136,0.0429,0.1574,3.16,73.77
31,16384,0.0136,0.0430,0.1574,3.16,73.47
32,16384,0.0136,0.0430,0.1574,3.15,73.30
33,16384,0.0136,0.0430,0.1574,3.16,73.47
34,16384,0.0136,0.0429,0.1574,3.16,73.72
35,16384,0.0136,0.0429,0.1574,3.16,73.72
36,16384,0.0136,0.0429,0.1574,3.16,73.74
37,16384,0.0136,0.0429,0.1574,3.16,73.75
38,16384,0.0135,0.0428,0.1574,3.16,73.82
39,16384,0.0135,0.0428,0.1574,3.16,73.84
40,16384,0.0136,0.0429,0.1574,3.16,73.76
41,16384,0.0135,0.0428,0.1574,3.16,73.85
42,16384,0.0135,0.0428,0.1574,3.16,73.82
43,16384,0.0136,0.0428,0.1574,3.16,73.79
44,16384,0.0135,0.0429,0.1574,3.16,73.80
45,16384,0.0136,0.0428,0.1574,3.16,73.79
46,16384,0.0136,0.0428,0.1574,3.16,73.79
47,16384,0.0135,0.0428,0.1574,3.16,73.81
48,16384,0.0136,0.0429,0.1574,3.16,73.77
49,16384,0.0136,0.0428,0.1574,3.16,73.76
50,16384,0.0136,0.0428,0.1574,3.16,73.79
51,16384,0.0135,0.0428,0.1574,3.16,73.82
52,16384,0.0136,0.0429,0.1574,3.16,73.79
53,16384,0.0136,0.0428,0.1574,3.16,73.77
54,16384,0.0136,0.0429,0.1574,3.16,73.76
55,16384,0.0135,0.0428,0.1574,3.16,73.86
56,16384,0.0136,0.0429,0.1574,3.16,73.79
57,16384,0.0136,0.0428,0.1574,3.16,73.79
58,16384,0.0136,0.0432,0.1574,3.18,73.56
59,16384,0.0136,0.0429,0.1574,3.16,73.77
60,16384,0.0136,0.0429,0.1574,3.16,73.79
61,16384,0.0135,0.0428,0.1574,3.18,74.12
62,16384,0.0135,0.0428,0.1574,3.18,74.11
63,16384,0.0137,0.0433,0.1574,3.16,73.02
