kernel,bytes,upper_fraction,ns_per_byte,cycles_per_byte,instructions_per_byte,ipc,branch_misses_per_kbyte,GHz,GBps
scalar,16384,0.00,0.5821,2.0122,7.0021,3.480,0.268,3.46,1.72
avx512,16384,0.00,0.0106,0.0334,0.1579,4.728,0.063,3.15,94.47
scalar,1048576,0.00,0.8095,2.8028,7.0000,2.498,0.013,3.46,1.24
avx512,1048576,0.00,0.0196,0.0619,0.1563,2.524,0.001,3.16,51.06
scalar,16777216,0.00,0.8064,2.8067,7.0000,2.494,0.000,3.48,1.24
avx512,16777216,0.00,0.0340,0.1081,0.1563,1.445,0.000,3.18,29.43
scalar,268435456,0.00,0.8955,3.1197,7.0000,2.244,0.000,3.48,1.12
avx512,268435456,0.00,0.0587,0.2044,0.1563,0.764,0.000,3.48,17.04
scalar,16384,0.50,3.2355,11.2867,7.8694,0.697,364.098,3.49,0.31
avx512,16384,0.50,0.0105,0.0334,0.1579,4.728,0.063,3.19,95.46
scalar,1048576,0.50,3.8331,13.3566,7.8481,0.588,479.370,3.48,0.26
avx512,1048576,0.50,0.0194,0.0619,0.1563,2.524,0.001,3.19,51.45
scalar,16777216,0.50,3.8434,13.3888,7.8462,0.586,479.823,3.48,0.26
avx512,16777216,0.50,0.0339,0.1080,0.1563,1.447,0.000,3.18,29.48
scalar,268435456,0.50,3.8498,13.4112,7.8461,0.585,479.485,3.48,0.26
avx512,268435456,0.50,0.0589,0.2052,0.1563,0.761,0.000,3.48,16.97
